Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
Date,,,,,
2010-04-12,22138.169921875,22388.76953125,22131.9296875,22388.76953125,1580086800
2010-04-13,22103.529296875,22290.669921875,22008.05078125,22216.109375,1868202800
2010-04-14,22121.4296875,22192.330078125,22061.76953125,22183.05078125,1302086200
2010-04-15,22157.8203125,22337.890625,22113.2109375,22265.359375,1459714700
2010-04-16,21865.259765625,22111.990234375,21788.880859375,22059.30078125,2496724000
2010-04-19,21405.169921875,21582.130859375,21283.30078125,21557.779296875,2348763400
2010-04-20,21623.380859375,21647.75,21507.470703125,21519.259765625,1422031800
2010-04-21,21510.9296875,21740.640625,21475.98046875,21732.759765625,1624158100
2010-04-22,21454.939453125,21471.109375,21206.740234375,21283.9296875,1352022600
2010-04-23,21244.490234375,21442.76953125,21232.150390625,21385.16015625,1306533600
2010-04-26,21587.060546875,21617.849609375,21489.05078125,21501.2109375,1140597000
2010-04-27,21261.7890625,21383.2109375,21224.05078125,21341.48046875,1327490700
2010-04-28,20949.400390625,21021.669921875,20853.830078125,20853.830078125,1788287200
2010-04-29,20778.919921875,21007.560546875,20763.33984375,20994.369140625,1617080700
2010-04-30,21108.58984375,21121.51953125,20920.150390625,20934.0703125,2387265600
2010-05-03,20811.359375,20886.849609375,20773.970703125,20799.7890625,1312414100
2010-05-04,20763.05078125,21011.94921875,20743.490234375,20935.900390625,1291199700
2010-05-05,20327.5390625,20505.66015625,20293.23046875,20390.119140625,2384536200
2010-05-06,20133.41015625,20303.220703125,19888.490234375,20177.470703125,2153780000
2010-05-07,19920.2890625,20037.599609375,19699.5,19699.5,2324807000
2010-05-10,20426.640625,20491.94921875,20035.599609375,20118.94921875,1820977600
2010-05-11,20146.509765625,20398.4296875,19977.099609375,20346.5390625,1888728800
2010-05-12,20212.490234375,20237.859375,20003.490234375,20175.740234375,1157921500
2010-05-13,20422.4609375,20526.580078125,20273.990234375,20411.55078125,1340553400
2010-05-14,20145.4296875,20352.80078125,20130.779296875,20258.44921875,1366467100
2010-05-17,19715.19921875,19832.029296875,19593.5,19832.029296875,1728648000
2010-05-18,19944.939453125,20013.330078125,19672.390625,19768.80078125,1350108900
2010-05-19,19578.98046875,19785.859375,19546.220703125,19552.16015625,1293434300
2010-05-20,19545.830078125,19747.16015625,19276.4609375,19694.470703125,1585500000
2010-05-24,19667.759765625,19757.439453125,19470.279296875,19470.279296875,1641682500
2010-05-25,18985.5,19328.359375,18974.51953125,19317.240234375,2165693400
2010-05-26,19196.44921875,19242.060546875,19047.69921875,19177.33984375,2264630000
2010-05-27,19431.369140625,19555.779296875,18971.51953125,19015.890625,2136796800
2010-05-28,19766.7109375,19910.060546875,19710.859375,19816.390625,2068737600
2010-05-31,19765.189453125,19823.990234375,19629.830078125,19705.529296875,1075849200
2010-06-01,19496.94921875,19805.599609375,19463.349609375,19600.5703125,1098816400
2010-06-02,19471.80078125,19656.220703125,19372.130859375,19651.55078125,1231922500
2010-06-03,19786.7109375,19859.80078125,19744.3203125,19822.890625,1270634900
2010-06-04,19780.0703125,19841.6796875,19658.66015625,19765.25,1011348700
2010-06-07,19378.150390625,19389.91015625,19211.669921875,19211.669921875,1583714800
2010-06-08,19487.48046875,19510.08984375,19333.099609375,19459.740234375,904490700
2010-06-09,19621.240234375,19792.279296875,19383.890625,19488.19921875,1263124900
2010-06-10,19632.69921875,19729.150390625,19517.609375,19517.609375,962222800
2010-06-11,19872.380859375,19995.640625,19834.23046875,19995.640625,1146581300
2010-06-14,20051.91015625,20102.55078125,20024.0390625,20102.55078125,954758200
2010-06-15,20062.150390625,20142.099609375,19970.91015625,19998.529296875,996054700
2010-06-17,20138.400390625,20201.810546875,20078.58984375,20201.810546875,1034862900
2010-06-18,20286.7109375,20315.419921875,20138.349609375,20199.220703125,1413431500
2010-06-21,20912.1796875,20938.330078125,20571.400390625,20571.400390625,3171247200
2010-06-22,20819.080078125,20957.08984375,20796.380859375,20861.470703125,1597804000
2010-06-23,20856.609375,20866.880859375,20689.150390625,20718.66015625,1362845100
2010-06-24,20733.490234375,20901.150390625,20710.150390625,20797.439453125,1067905400
2010-06-25,20690.7890625,20732.30078125,20563.9296875,20615.919921875,1338524400
2010-06-28,20726.6796875,20862.380859375,20687.26953125,20718.080078125,1171423600
2010-06-29,20248.900390625,20738.150390625,20190.880859375,20727.44921875,1781397200
2010-06-30,20128.990234375,20143.16015625,19971.26953125,19985.720703125,1588071700
2010-07-02,19905.3203125,20161.990234375,19803.220703125,20059.560546875,1374627100
2010-07-05,19842.19921875,19913.400390625,19793.470703125,19809.060546875,1251615800
2010-07-06,20084.119140625,20084.119140625,19777.830078125,19777.830078125,1204498500
2010-07-07,19857.0703125,19948.150390625,19800.23046875,19948.150390625,1083584000
2010-07-08,20050.560546875,20236.1796875,20002.009765625,20231.150390625,1137900000
